run_idx,steps,window_size,window_drop_max,bias_cycle_max,landmark_stride,dense_val_ppl,val_ppl,ppl_gap,dense_tok_s,tok_s,tok_s_ratio,cycle_pct,window_pct,landmark_pct,rewire_pct,reachability,shortcut_rate,cache_hit_rate,avg_graph_build_ms
1,500,2,0.7,0.8,off,69.1246192777411,36.008070554407816,-33.11654872333329,350842.8138377905,251321.56807402524,0.7163366560793286,4.699916765093803,95.30008435249329,0.0,0.0,91.650390625,0.984375,1.0,0.0010419997852295637
2,500,2,0.7,1.2,off,69.1246192777411,43.47947976735168,-25.645139510389427,350842.8138377905,245282.1449800488,0.6991226136199361,5.430851131677628,94.5691466331482,0.0,0.0,91.650390625,0.984375,1.0,0.004374999785795808
3,500,2,0.7,2.0,off,69.1246192777411,43.29828070660707,-25.82633857113403,350842.8138377905,241841.29794916676,0.6893152386498081,5.0412867218256,94.95871067047119,0.0,0.0,91.650390625,0.984375,1.0,0.0012910000514239073
4,500,2,0.9,0.8,off,69.1246192777411,28.745664342634598,-40.378954935106506,350842.8138377905,246332.3619461493,0.7021160252694791,7.881978899240494,92.11801886558533,0.0,0.0,0.0,0.0,1.0,0.007333000190556049
5,500,2,0.9,1.2,off,69.1246192777411,27.867525416755697,-41.25709386098541,350842.8138377905,250658.17348572685,0.7144457962351674,6.7299529910087585,93.2700514793396,0.0,0.0,91.650390625,0.984375,1.0,0.0009580000769346952
6,500,2,0.9,2.0,off,69.1246192777411,28.60065829037452,-40.523960987366586,350842.8138377905,253481.71216411123,0.7224936700037601,6.580419838428497,93.41957569122314,0.0,0.0,91.650390625,0.984375,1.0,0.0010829998645931482
7,500,2,0.95,0.8,off,69.1246192777411,30.37174322414833,-38.75287605359277,350842.8138377905,251990.79744531406,0.7182441466845038,11.44205555319786,88.55794668197632,0.0,0.0,91.650390625,0.984375,1.0,0.0012499999720603228
8,500,2,0.95,1.2,off,69.1246192777411,28.12955858021139,-40.99506069752971,350842.8138377905,253316.2685547686,0.7220221095133715,9.388522058725357,90.61148166656494,0.0,0.0,0.0,0.0,1.0,0.0009999996982514858
9,500,2,0.95,2.0,off,69.1246192777411,29.68002232373777,-39.44459695400333,350842.8138377905,252695.59875793863,0.7202530272567318,9.806142747402191,90.19385576248169,0.0,0.0,91.650390625,0.984375,1.0,0.0009999999310821295
10,500,4,0.7,0.8,off,69.1246192777411,42.9229772109894,-26.201642066751702,350842.8138377905,240736.67473282653,0.6861667539929414,5.733746662735939,94.26625370979309,0.0,0.0,122.58203125,0.984375,1.0,0.0015410000924021006
11,500,4,0.7,1.2,off,69.1246192777411,69.45140840629378,0.32678912855267583,350842.8138377905,244723.888223256,0.6975314259576149,6.490565836429596,93.50942969322205,0.0,0.0,122.58203125,0.984375,1.0,0.0011249999515712261
12,500,4,0.7,2.0,off,69.1246192777411,40.51941263041897,-28.605206647322134,350842.8138377905,246159.21670861452,0.7016225129878942,6.08443059027195,93.91556978225708,0.0,0.0,122.58203125,0.984375,1.0,0.0010420000180602074
